text,actual_label,predicted_label,fraud_probability,ham_probability,split
"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",1,1,0.9955258,0.004474153,test
Win a Ã¥Â£1000 cash prize or a prize worth Ã¥Â£5000,1,1,0.99642426,0.003575714,test
A Ã¥Â£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a Ã¥Â£400 reward. Just call 09066380611 ,1,1,0.99825054,0.001749456,test
I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,0,0,0.006668622,0.9933314,test
I place all ur points on e cultures module already.,0,0,0.001733746,0.9982663,test
Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.,0,0,0.002310464,0.9976896,test
"For ur chance to win Ã¥Â£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",1,1,0.99819547,0.001804563,test
Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),0,0,0.001659061,0.99834096,test
Yar... I tot u knew dis would happen long ago already.,0,0,0.001626157,0.99837387,test
1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+,1,1,0.997945,0.002054999,test
"Sorry, I'll call later",0,0,0.001705454,0.99829453,test
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,1,0.9981482,0.001851868,test
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,1,1,0.99827695,0.001723063,test
"Jay told me already, will do",0,0,0.001603249,0.9983967,test
No pic. Please re-send.,0,0,0.00170648,0.9982936,test
Yup. Wun believe wat? U really neva c e msg i sent shuhui?,0,0,0.001637589,0.99836236,test
Lol wtf random. Btw is that your lunch break,0,0,0.001711928,0.9982881,test
One small prestige problem now.,0,0,0.002844907,0.9971551,test
"U can WIN Ã¥Â£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",1,1,0.99821115,0.001788894,test
"It's wylie, you in tampa or sarasota?",0,0,0.002100493,0.99789953,test
Bbq this sat at mine from 6ish. Ur welcome 2 come,0,0,0.001828705,0.9981713,test
PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,1,1,0.99822754,0.001772474,test
Then get some cash together and I'll text jason,0,0,0.002297617,0.9977024,test
"Congratulations! Thanks to a good friend U have WON the Ã¥Â£2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",1,1,0.9983109,0.00168904,test
SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,1,1,0.9980059,0.00199408,test
So u gonna get deus ex?,0,0,0.001602477,0.9983975,test
Minimum walk is 3miles a day.,0,0,0.053330146,0.9466698,test
Wait 2 min..stand at bus stop,0,0,0.00391472,0.9960853,test
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,1,1,0.9982522,0.001747807,test
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,1,1,0.9979023,0.002097696,test
URGENT! We are trying to contact U. Todays draw shows that you have won a Ã¥Â£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,1,1,0.9982533,0.001746684,test
"For ur chance to win a Ã¥Â£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",1,1,0.99821967,0.001780327,test
Oh ok no prob..,0,0,0.00159919,0.99840087,test
Dunno y u ask me.,0,0,0.001633464,0.99836653,test
