sample_id,text,true_label,nb_probability,nb_prediction_default_0_5,nb_prediction_threshold_0_4,risk_tier
sms_1278,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,1,0.9475039342273668,1,1,HIGH
sms_0913,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,1,0.9758141727461392,1,1,HIGH
sms_1215,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,1,0.9778161122221642,1,1,HIGH
sms_1185,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub,1,0.8480368669188415,1,1,HIGH
sms_0957,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,1,0.792867580274549,1,1,HIGH
sms_0088,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",1,0.8457341993554036,1,1,HIGH
sms_0456,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,1,0.7788301715325072,1,1,HIGH
sms_0347,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",0,0.1162298046870631,0,0,LOW
sms_0886,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,1,0.7730206924719336,1,1,HIGH
sms_0744,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",1,0.9402575095923991,1,1,HIGH
sms_0675,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",1,0.688219349933561,1,1,MEDIUM
sms_0936,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1,0.9602845236237162,1,1,HIGH
sms_0780,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1,0.9618414520505809,1,1,HIGH
sms_0111,At 7 we will go ok na.,0,0.06324196780422418,0,0,LOW
sms_0034,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,1,0.9133094696350395,1,1,HIGH
sms_1089,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,1,0.7666654307926609,1,1,HIGH
sms_1040,You have 1 new message. Please call 08718738034.,1,0.8020615305733767,1,1,HIGH
sms_0873,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",1,0.8011511605230691,1,1,HIGH
sms_0054,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,1,0.822914359212308,1,1,HIGH
sms_1159,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :),0,0.21464902733594365,0,0,LOW
sms_0681,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,0,0.24576693698926258,0,0,LOW
sms_0775,todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award,1,0.8675099849387518,1,1,HIGH
sms_0783,Never y lei... I v lazy... Got wat? Dat day Ì_ send me da url cant work one...,0,0.02271979383388405,0,0,LOW
sms_0127,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),0,0.04984290353828673,0,0,LOW
sms_0764,I meant as an apology from me for texting you to get me drugs at  &lt;#&gt; at night,0,0.02310959606612025,0,0,LOW
sms_0542,You can donate å£2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. å£2.50 will be added to your next bill,1,0.6573089645027316,1,1,MEDIUM
sms_1243,I dunno they close oredi not... ÌÏ v ma fan...,0,0.21035039181474283,0,0,LOW
sms_0452,2 and half years i missed your friendship:-),0,0.4088995156914273,0,1,MEDIUM
sms_0799,No management puzzeles.,0,0.5,0,1,MEDIUM
sms_0954,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",1,0.7844979837539413,1,1,HIGH
sms_0772,Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2,1,0.5011912274584874,1,1,MEDIUM
sms_1271,Boo. How's things? I'm back at home and a little bored already :-(,0,0.10045283022052297,0,0,LOW
sms_0159,+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,1,0.9789590251096095,1,1,HIGH
sms_0486,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",1,0.9246960850822881,1,1,HIGH
sms_0909,Also andros ice etc etc,0,0.5,0,1,MEDIUM
