text,nb_true_label,nb_probability,nb_prediction_default_0_5,nb_prediction_threshold_0_4,nb_risk_tier,DB_actual_label,DB_predicted_label,DB_fraud_probability,DB_ham_probability,ensemble_text_probaility
"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",1,0.9791806783560768,1,1,HIGH,1,1,0.9955258,0.0044741533,0.5948637117534115
Win a å£1000 cash prize or a prize worth å£5000,1,0.999999986283072,1,1,HIGH,1,1,0.99642426,0.003575714,0.5983909149424608
A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611 ,1,0.99990137165057,1,1,HIGH,1,1,0.99825054,0.0017494555,0.5991979487475856
I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,0,0.0017165225984665,0,0,LOW,0,0,0.0066686217,0.9933314,0.003258358154769975
I place all ur points on e cultures module already.,0,0.4136230553277799,0,0,MEDIUM,0,0,0.0017337458,0.9982663,0.06282364390916698
Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.,0,9.684949919330012e-05,0,0,LOW,0,0,0.0023104635,0.9976896,0.0010542359998789953
"For ur chance to win å£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",1,0.9999999999949408,1,1,HIGH,1,1,0.99819547,0.0018045633,0.5991879614992411
Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),0,0.0015899142099218,0,0,LOW,0,0,0.0016590608,0.99834096,0.00098506449148827
Yar... I tot u knew dis would happen long ago already.,0,2.819352981061304e-07,0,0,LOW,0,0,0.0016261566,0.99837387,0.0007318127602947158
1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+,1,1.0,1,1,HIGH,1,1,0.997945,0.002054999,0.59907525
"Sorry, I'll call later",0,6.7008717490306e-07,0,0,LOW,0,0,0.0017054537,0.99829453,0.0007675546780762354
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,0.9999999397440452,1,1,HIGH,1,1,0.9981482,0.0018518675,0.5991666809616067
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,1,0.9999998370914644,1,1,HIGH,1,1,0.99827695,0.0017230633,0.5992246030637197
"Jay told me already, will do",0,0.0617410222545456,0,0,LOW,0,0,0.0016032493,0.9983967,0.00998261552318184
No pic. Please re-send.,0,0.733237497673349,1,1,MEDIUM,0,0,0.0017064796,0.9982936,0.11075354047100236
Yup. Wun believe wat? U really neva c e msg i sent shuhui?,0,1.449932347138748e-05,0,0,LOW,0,0,0.0016375888,0.99836236,0.0007390898585207081
Lol wtf random. Btw is that your lunch break,0,0.0013136801804285,0,0,LOW,0,0,0.0017119275,0.9982881,0.0009674194020642751
One small prestige problem now.,0,0.0533917996885795,0,0,LOW,0,0,0.0028449069,0.9971551,0.009288978058286925
"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",1,0.9999999999880628,1,1,HIGH,1,1,0.99821115,0.0017888935,0.5991950174982095
"It's wylie, you in tampa or sarasota?",0,0.472107438016529,0,0,MEDIUM,0,0,0.0021004926,0.99789953,0.07176133737247935
Bbq this sat at mine from 6ish. Ur welcome 2 come,0,0.076090255981127,0,0,LOW,0,0,0.0018287054,0.9981713,0.012236455827169049
PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,1,0.9999999999358806,1,1,HIGH,1,1,0.99822754,0.0017724741,0.5992023929903821
Then get some cash together and I'll text jason,0,0.8443726120728192,1,1,HIGH,0,0,0.0022976168,0.9977024,0.12768981937092289
"Congratulations! Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",1,0.9999999999996588,1,1,HIGH,1,1,0.9983109,0.0016890398,0.5992399049999488
SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,1,0.9999940875458428,1,1,HIGH,1,1,0.9980059,0.0019940797,0.5991017681318764
So u gonna get deus ex?,0,0.011486839994912,0,0,LOW,0,0,0.0016024772,0.9983975,0.0024441407392368003
Minimum walk is 3miles a day.,0,0.1728864844287274,0,0,LOW,0,0,0.053330146,0.9466698,0.04993153836430911
Wait 2 min..stand at bus stop,0,0.4682432120292464,0,0,MEDIUM,0,0,0.00391472,0.9960853,0.07199810580438697
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,1,0.9999999999999716,1,1,HIGH,1,1,0.9982522,0.0017478067,0.5992134899999958
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,1,0.9483178302515328,1,1,HIGH,1,1,0.9979023,0.0020976958,0.5913037095377299
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,1,1.0,1,1,HIGH,1,1,0.9982533,0.0017466837,0.599213985
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",1,0.9999999784432988,1,1,HIGH,1,1,0.99821967,0.0017803268,0.5991988482664948
Oh ok no prob..,0,0.0006067431190339,0,0,LOW,0,0,0.0015991896,0.99840087,0.0008106467878550849
Dunno y u ask me.,0,0.0023186754016535,0,0,LOW,0,0,0.0016334639,0.99836653,0.001082860065248025
You were supposed to wake ME up &gt;:(,0,0.0007318371792483,0,0,LOW,0,0,0.001599373,0.9984006,0.000829493426887245
Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls å£1/minMobsmoreLKPOBOX177HP51FL,1,0.1196312378970366,0,0,LOW,1,1,0.99823856,0.0017614329,0.4671520376845555
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,1,0.9999243329159108,1,1,HIGH,1,1,0.99698275,0.0030172237,0.5986308874373867
"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only å£1.50/week. SavaMob - offers mobile!",1,0.9999990736201908,1,1,HIGH,1,1,0.9982712,0.0017287155,0.5992219010430286
from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,1,0.9999814729388242,1,1,HIGH,1,1,0.9982167,0.0017832587,0.5991947359408236
