text,true_label,nb_probability,nb_prediction_threshold_0_5,risk_tier
"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",1,0.9791806783560769,1,HIGH
Win a å£1000 cash prize or a prize worth å£5000,1,0.9999999862830721,1,HIGH
A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611 ,1,0.9999013716505699,1,HIGH
I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,0,0.0017165225984665494,0,LOW
I place all ur points on e cultures module already.,0,0.41362305532777993,0,MEDIUM
Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.,0,9.684949919330013e-05,0,LOW
"For ur chance to win å£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",1,0.9999999999949409,1,HIGH
Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),0,0.0015899142099218928,0,LOW
Yar... I tot u knew dis would happen long ago already.,0,2.819352981061304e-07,0,LOW
1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+,1,1.0,1,HIGH
"Sorry, I'll call later",0,6.7008717490306e-07,0,LOW
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,0.9999999397440451,1,HIGH
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,1,0.9999998370914644,1,HIGH
"Jay told me already, will do",0,0.061741022254545676,0,LOW
No pic. Please re-send.,0,0.733237497673349,1,MEDIUM
Yup. Wun believe wat? U really neva c e msg i sent shuhui?,0,1.4499323471387479e-05,0,LOW
Lol wtf random. Btw is that your lunch break,0,0.0013136801804285371,0,LOW
One small prestige problem now.,0,0.053391799688579517,0,LOW
"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",1,0.9999999999880629,1,HIGH
"It's wylie, you in tampa or sarasota?",0,0.47210743801652905,0,MEDIUM
Bbq this sat at mine from 6ish. Ur welcome 2 come,0,0.07609025598112708,0,LOW
PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,1,0.9999999999358806,1,HIGH
Then get some cash together and I'll text jason,0,0.8443726120728192,1,HIGH
"Congratulations! Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",1,0.9999999999996589,1,HIGH
SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,1,0.9999940875458427,1,HIGH
So u gonna get deus ex?,0,0.011486839994912084,0,LOW
Minimum walk is 3miles a day.,0,0.17288648442872742,0,LOW
Wait 2 min..stand at bus stop,0,0.4682432120292464,0,MEDIUM
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,1,0.9999999999999716,1,HIGH
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,1,0.9483178302515328,1,HIGH
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,1,1.0,1,HIGH
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",1,0.9999999784432989,1,HIGH
Oh ok no prob..,0,0.0006067431190339864,0,LOW
Dunno y u ask me.,0,0.0023186754016535655,0,LOW
You were supposed to wake ME up &gt;:(,0,0.0007318371792483204,0,LOW
Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls å£1/minMobsmoreLKPOBOX177HP51FL,1,0.11963123789703661,0,LOW
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,1,0.9999243329159108,1,HIGH
"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only å£1.50/week. SavaMob - offers mobile!",1,0.9999990736201908,1,HIGH
from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,1,0.9999814729388242,1,HIGH
I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,0,3.345551112571281e-06,0,LOW
URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,1,0.9999999900047243,1,HIGH
You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,0.9999999999992042,1,HIGH
You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,1,0.9999999849019049,1,HIGH
"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details",0,6.463661002102923e-13,0,LOW
My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,0,0.00015933608882360165,0,LOW
"Not for possession, especially not first offense",0,0.47210743801652905,0,MEDIUM
K..k..i'm also fine:)when will you complete the course?,0,0.054911176386236174,0,LOW
WIN a å£200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 å£1.50perweeksub.,1,0.9999056932394441,1,HIGH
"Hmm well, night night ",0,0.041756608412129415,0,LOW
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,1,0.9999999999999147,1,HIGH
"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",0,4.384217208075549e-28,0,LOW
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,1,0.999990580383367,1,HIGH
Lol for real. She told my dad I have cancer,0,0.00032654893353473537,0,LOW
Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-),0,3.1910174262302236e-08,0,LOW
What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,1,0.9999999999993179,1,HIGH
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,1,0.9999999998503029,1,HIGH
